0xFFD100e0 0x1b1b9b9b
0xFFD20134 0xbbbbbbbb
0xFFD20138 0x00bbbbbb
0xFFD01500 0x00000000
0xFFD01504 0x0FFFFFF1
0xFFD01508 0x00000000
0xFFD0150C 0x00000000
0xFFD01510 0x00000000
0xFFD01514 0x00000000
0xFFD01518 0x00000000
0xFFD0151C 0x00000000
0xFFD01400 0x43000618
0xFFD01404 0x39543010
0xFFD01408 0x22125441
0xFFD0140C 0x00000832
0xFFD01410 0x0000000C
0xFFD01414 0x00000000
0xFFD01418 0x00000000
0xFFD0141C 0x00000652
0xFFD01420 0x00000006
0xFFD01424 0x0000F17F
0xFFD01428 0x00085520
0xFFD0142C 0x00000000
0xFFD0147C 0x00008552
0xFFD01480 0x00000001
0xFFD01494 0x00010000
0xFFD01498 0x00000000
0xFFD0149C 0x0000E80F
0x0 0x0


